2026-01-28 12:20:44 | DEBUG   | ldc | move info: 0.0 , 6.933333333333213
2026-01-28 12:20:44 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:44 | DEBUG   | ldc | move info: 0.0 , 7.4666666666667885
2026-01-28 12:20:44 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:44 | DEBUG   | ldc | move info: 0.0 , 6.4
2026-01-28 12:20:44 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:44 | DEBUG   | ldc | move info: 0.0 , 6.933333333333213
2026-01-28 12:20:44 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:44 | DEBUG   | ldc | move info: 1.066666666666697 , 5.333333333333394
2026-01-28 12:20:44 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:44 | DEBUG   | ldc | move info: 1.6 , 4.800000000000001
2026-01-28 12:20:44 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:44 | DEBUG   | ldc | move info: 1.6 , 3.2
2026-01-28 12:20:44 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:44 | DEBUG   | ldc | move info: 2.133333333333303 , 2.666666666666606
2026-01-28 12:20:44 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:44 | DEBUG   | ldc | move info: 2.133333333333394 , 1.0666666666667879
2026-01-28 12:20:44 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:44 | DEBUG   | ldc | move info: 2.133333333333303 , 0.0
2026-01-28 12:20:44 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:44 | DEBUG   | ldc | move info: 1.6 , 0.0
2026-01-28 12:20:44 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:44 | DEBUG   | ldc | move info: 2.133333333333303 , 0.0
2026-01-28 12:20:44 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:44 | DEBUG   | ldc | move info: 1.6 , 0.0
2026-01-28 12:20:44 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:44 | DEBUG   | ldc | move info: 0.5333333333333939 , 0.0
2026-01-28 12:20:44 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:45 | DEBUG   | ldc | move info: 4.266666666666606 , 17.6
2026-01-28 12:20:45 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:45 | DEBUG   | ldc | move info: 0.0 , 0.0
2026-01-28 12:20:45 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:45 | DEBUG   | ldc | move info: 4.800000000000001 , 12.266666666666607
2026-01-28 12:20:45 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:45 | DEBUG   | ldc | move info: 9.600000000000001 , 10.666666666666789
2026-01-28 12:20:45 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:45 | DEBUG   | ldc | move info: 10.666666666666698 , 11.733333333333213
2026-01-28 12:20:45 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:45 | DEBUG   | ldc | move info: 11.733333333333304 , 12.8
2026-01-28 12:20:45 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:45 | DEBUG   | ldc | move info: 12.8 , 12.266666666666788
2026-01-28 12:20:45 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:45 | DEBUG   | ldc | move info: 13.333333333333394 , 10.666666666666607
2026-01-28 12:20:45 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:45 | DEBUG   | ldc | move info: 12.8 , 9.600000000000001
2026-01-28 12:20:45 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:45 | DEBUG   | ldc | move info: 11.733333333333304 , 9.600000000000001
2026-01-28 12:20:45 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:45 | DEBUG   | ldc | move info: 10.133333333333304 , 9.066666666666606
2026-01-28 12:20:45 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:45 | DEBUG   | ldc | move info: 7.466666666666697 , 10.133333333333395
2026-01-28 12:20:45 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:45 | DEBUG   | ldc | move info: 6.933333333333303 , 9.066666666666606
2026-01-28 12:20:45 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:45 | DEBUG   | ldc | move info: 4.800000000000001 , 8.533333333333394
2026-01-28 12:20:45 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:45 | DEBUG   | ldc | move info: 3.2 , 7.466666666666606
2026-01-28 12:20:45 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:45 | DEBUG   | ldc | move info: 2.666666666666697 , 4.800000000000001
2026-01-28 12:20:45 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:45 | DEBUG   | ldc | move info: 1.6 , 3.7333333333333942
2026-01-28 12:20:45 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:45 | DEBUG   | ldc | move info: 1.6 , 2.133333333333394
2026-01-28 12:20:45 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:45 | DEBUG   | ldc | move info: 1.6 , 1.6
2026-01-28 12:20:45 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:45 | DEBUG   | ldc | move info: 1.066666666666697 , 2.133333333333212
2026-01-28 12:20:45 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:45 | DEBUG   | ldc | move info: 0.533333333333303 , 1.0666666666667879
2026-01-28 12:20:45 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:45 | DEBUG   | ldc | move info: 0.0 , 1.6
2026-01-28 12:20:45 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:45 | DEBUG   | ldc | move info: 0.0 , 0.5333333333332121
2026-01-28 12:20:45 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:21:15 | INFO    | ldc | ws client disconnected
2026-01-28 12:21:37 | INFO    | ldc | ws client disconnected
2026-01-28 12:21:37 | INFO    | ldc | ws client connected
2026-01-28 12:22:29 | INFO    | ldc | ws client disconnected
2026-01-28 12:22:29 | INFO    | ldc | ws client connected
2026-01-28 12:22:32 | INFO    | ldc | ws client disconnected
2026-01-28 12:23:29 | INFO    | ldc | ws client connected
2026-01-28 12:23:30 | DEBUG   | ldc | move info: -6.933333333333394 , 6.4
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: 0.0 , 0.0
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: -17.6 , 14.933333333333213
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: -2.133333333333303 , 1.6
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: -5.866666666666697 , 6.4
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: -8.0 , 8.533333333333394
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: -6.933333333333303 , 9.066666666666606
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: -5.866666666666697 , 7.4666666666667885
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: -4.800000000000001 , 7.466666666666606
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: -4.266666666666606 , 6.933333333333394
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: -3.2 , 6.4
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: -2.666666666666697 , 6.4
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: -3.2 , 5.866666666666607
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: -2.666666666666697 , 5.333333333333394
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: -2.133333333333303 , 4.266666666666606
